ID;Label
D2-101;Human
D2-102;OpenAI
D2-103;Human
D2-104;Google
D2-105;Meta
D2-106;OpenAI
D2-107;Meta
D2-108;OpenAI
D2-109;Google
D2-110;Google
D2-111;Human
D2-112;Google
D2-113;Human
D2-114;Meta
D2-115;Meta
D2-116;Google
D2-117;Meta
D2-118;Meta
D2-119;Human
D2-120;Meta
D2-121;Human
D2-122;Human
D2-123;Google
D2-124;Human
D2-125;Google
D2-126;Human
D2-127;Human
D2-128;OpenAI
D2-129;Human
D2-130;Meta
D2-131;Meta
D2-132;Human
D2-133;Anthropic
D2-134;OpenAI
D2-135;Anthropic
D2-136;Human
D2-137;Anthropic
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Google
D2-142;Google
D2-143;Human
D2-144;OpenAI
D2-145;Meta
D2-146;Human
D2-147;Human
D2-148;Google
D2-149;OpenAI
D2-150;Google
D3-1;Google
D3-2;Human
D3-3;Google
D3-4;Google
D3-5;Google
D3-6;Human
D3-7;Human
D3-8;Google
D3-9;Google
D3-10;Meta
D3-11;Google
D3-12;Google
D3-13;Anthropic
D3-14;Meta
D3-15;Meta
D3-16;Human
D3-17;Meta
D3-18;Meta
D3-19;Human
D3-20;Google
D3-21;Human
D3-22;Meta
D3-23;Human
D3-24;Anthropic
D3-25;Human
D3-26;Meta
D3-27;Meta
D3-28;Human
D3-29;Meta
D3-30;Google
D3-31;Human
D3-32;Google
D3-33;Meta
D3-34;Meta
D3-35;Human
D3-36;Meta
D3-37;Human
D3-38;Google
D3-39;Meta
D3-40;Meta
D3-41;Meta
D3-42;Human
D3-43;Meta
D3-44;Human
D3-45;Google
D3-46;Meta
D3-47;Google
D3-48;Google
D3-49;Meta
D3-50;Google
D3-51;Human
D3-52;Google
D3-53;Meta
D3-54;Human
D3-55;Meta
D3-56;Human
D3-57;Google
D3-58;OpenAI
D3-59;Meta
D3-60;Google
D3-61;Human
D3-62;Human
D3-63;Google
D3-64;Google
D3-65;Meta
D3-66;Meta
D3-67;Google
D3-68;Human
D3-69;Human
D3-70;Meta
D3-71;Human
D3-72;Meta
D3-73;Anthropic
D3-74;Human
D3-75;Anthropic
D3-76;Anthropic
D3-77;Human
D3-78;Meta
D3-79;Meta
D3-80;Meta
D3-81;OpenAI
D3-82;Meta
D3-83;Meta
D3-84;Meta
D3-85;Human
D3-86;Google
D3-87;OpenAI
D3-88;Meta
D3-89;Human
D3-90;Google
D3-91;Google
D3-92;Meta
D3-93;Human
D3-94;Meta
D3-95;Human
D3-96;Meta
D3-97;Meta
D3-98;Meta
D3-99;Meta
D3-100;Human
